名称,営業日,住所,アクセス
居酒屋河童,月～日、祝日、祝前日: 05:00～翌4:59 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂２－６－４,渋谷駅Ａ4出口より徒歩約1分/京王井の頭線出口徒歩30秒/スクランブル交差点より徒歩約2分
新宿 代々木ビアホール＆BBQ KIMURAYA 木村屋,月～金、祝前日: 17:00～23:00土、祝日: 15:00～23:00,東京都渋谷区代々木１-32-1 おしろビル2F,ＪＲ代々木駅西口より徒歩約1分/※磯丸水産さんの入っている茶色いビルの2階が当店です。
完全個室居酒屋 京町物語 渋谷店,月～日、祝日、祝前日: 16:00～翌0:00,東京都渋谷区宇田川町31-9ハナテイビル6F,渋谷駅徒歩2分　3時間飲み放題付き宴会コース3500円~ご用意しております。　テーブル個室・掘り炬燵個室などご用意あり
北海道 渋谷駅前店,月、火: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:45）水、木: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）16:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:45）金: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）土: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）日、祝日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:45）,東京都渋谷区渋谷１－２４－１０　渋谷全線座ビル３Ｆ,JR渋谷駅宮益坂口 徒歩1分/東急東横線渋谷駅宮益坂口 徒歩1分/東京メトロ副都心線渋谷駅 徒歩1分
焼肉 牛宮城,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区宇田川町１２－９　ＪｏｕＬｅ　ＳＨＩＢＵＹＡ　５Ｆ,渋谷駅Ａ３ｂ出口より徒歩約5分/宮益坂口より徒歩約8分/井の頭線出口(スクランブル交差点方面)より徒歩約8分
NEWLIGHT ニューライト 渋谷,月～日、祝日、祝前日: 11:00～22:30 （料理L.O. 21:30 ドリンクL.O. 22:00）,東京都渋谷区神宮前６－２０－１０　MIYASHITA PARK North 301,東京メトロ渋谷駅B1出口徒歩3分、JR渋谷駅ハチ公口徒歩7分
nurikabe cafe SSS エスリー 渋谷,月～日: 12:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）祝日: 12:00～23:00,東京都渋谷区渋谷３‐10‐14　長崎堂　B1,JR「渋谷駅」新南口より徒歩3分/東京メトロ半蔵門線・副都心線・東急東横線・田園都市線渋谷駅C1・C2出口より徒歩2分
ゆずの小町 渋谷店,月～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区宇田川町32-12 アソルティ渋谷6Ｆ,各線　渋谷駅から徒歩5分！センター街の先、宇田川町交番の奥。ヨシモト∞ホール目の前のビル6Ｆ
焼き鳥と自家製サワーてけレモンのお店 てけてけ 渋谷宮益坂店,月～金: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）土: 16:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）日、祝日: 16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷１－１２－１ カレイド渋谷宮益坂２階,渋谷駅徒歩2分（B4出口を出て交差点を渡り右折。宮益坂方面へ少し登り、OPENHOUSE手前を左折。突き当り右手KALEIDO2階）
個室居酒屋 座楽 渋谷店,月～金: 15:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日、祝前日: 13:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-２５-６ 渋谷パークサイド共同ビル３Ｆ,渋谷駅から一番（！？）近い居酒屋なので待ち合わせ・解散も楽ちん！人混みを避けて集合解散◎
鳥の宴 渋谷本店,月～日、祝日、祝前日: 12:00～翌0:00,東京都渋谷区道玄坂２－２５－１０　ベニー清建ビル４F,渋谷駅徒歩3分（渋谷で焼き鳥&肉寿司食べ放題！）
ストリート酒場 東京基地 離 スペイン坂店,月～日: 11:30～23:30 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区宇田川町16-14　スペイン坂松下ビル2F,JR渋谷駅より徒歩4分。スペイン坂→人間関係を通過→ゴンチャ通過→階段手前の2Fにございます。
